teamAbbrev,teamName,conferenceName,divisionName,gamesPlayed,wins,losses,otLosses,points,pointPctg,goalFor,goalAgainst,goalDifferential,blockedShots,blockedShotsPer60,clinchIndicator,defensiveZoneFaceoffPct,defensiveZoneFaceoffs,emptyNetGoals,evFaceoffPct,evFaceoffs,evGoalsFor,faceoffWinPct,giveaways,giveawaysPer60,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPct,goalsForPerGame,hits,hitsPer60,homeLosses,homeWins,lossesEvenShots,lossesOutshootOpponent,lossesOutshotByOpponent,missedShots,netShotsPerGame,neutralZoneFaceoffPct,neutralZoneFaceoffs,offensiveZoneFaceoffPct,offensiveZoneFaceoffs,otLossesEvenShots,otLossesOutshootOpponent,otLossesOutshotByOpponent,penaltyKillNetPct,penaltyKillPct,period1GoalsAgainst,period1GoalsFor,period2GoalsAgainst,period2GoalsFor,period3GoalsAgainst,period3GoalsFor,periodOtGoalsAgainst,periodOtGoalsFor,pkNetGoals,pkNetGoalsPerGame,pkTimeOnIcePerGame,pointPct,pointsPct,powerPlayGoalsFor,powerPlayNetPct,powerPlayPct,ppFaceoffPct,ppFaceoffs,ppGoalsAgainst,ppGoalsAgainstPerGame,ppGoalsFor,ppGoalsPerGame,ppNetGoals,ppNetGoalsPerGame,ppOpportunities,ppOpportunitiesPerGame,ppTimeOnIcePerGame,regulationAndOtWins,regulationWins,roadLosses,roadWins,satPct,satPctAhead,satPctBehind,satPctClose,satPctTied,savePct5v5,seasonId,shFaceoffPct,shFaceoffs,shGoalsAgainst,shGoalsAgainstPerGame,shGoalsFor,shGoalsForPerGame,shootingPct5v5,shootingPlusSavePct5v5,shootoutGamesPlayed,shootoutGoals,shootoutGoalsAgainst,shootoutLosses,shootoutPoints,shootoutSavePct,shootoutSaves,shootoutShootingPct,shootoutShootingPlusSavePct,shootoutShots,shootoutShotsAgainst,shootoutWinPct,shootoutWins,shotAttemptsBlocked,shots,shotsAgainstPerGame,shotsForPerGame,starter_gaa,starter_gp,starter_name,starter_savePctg,streakCode,streakCount,takeaways,takeawaysPer60,teamFullName,teamId,teamShutouts,team_gaa,team_savePctg,team_shutouts,ties,tiesEvenShots,tiesOutshootOpponent,tiesOutshotByOpponent,timeOnIcePerGame5v5,timesShorthanded,timesShorthandedPerGame,totalFaceoffs,totalShotAttempts,usatPct,usatPctAhead,usatPctBehind,usatPctClose,usatPctTied,winsEvenShots,winsInRegulation,winsInShootout,winsOutshootOpponent,winsOutshotByOpponent,zoneStartPct5v5
COL,Colorado Avalanche,Western,Central,70,47,13,10,104,0.742857,263,177,86,897,12.636,x,0.49309,1375,19,0.50982,3358,221,0.51508,1092,15.3828,171,2.44285,260,0.634228,3.71428,1196,16.848,6,23,0,10,3,1156,7.54285,0.5114,1228,0.53766,1540,2,8,0,0.836633,0.83168,54,82,62,87,51,88,4,3,-33,-0.47142,293.571428,0.742857,0.74285,38,0.114537,0.1674,0.61813,419,34,0.48571,38,0.54285,26,0.37142,227,3.24285,333.871428,44,41,7,24,0.563329,0.53281,0.60232,0.57965,0.58007,0.92231,20252026,0.44535,366,12,0.171428,1,0.014285,0.10188,1.02419,9,8,11,6,12,0.607142,17,0.296296,0.90343,27,28,0.33333,3,1357,2364,26.22857,33.77142,2.18753,39,Scott Wedgewood,,W,3,318,4.4784,Colorado Avalanche,21,6,2.277,0.0,6,,0,0,0,2880.04285,202,2.88571,4143,4877,0.55768,0.53187,0.57875,0.57181,0.58045,1,41,3,35,11,0.52988
DAL,Dallas Stars,Western,Central,71,43,17,11,97,0.683099,244,196,48,1071,14.8464,x,0.49631,1358,8,0.52614,3098,173,0.51977,1014,14.0544,192,2.70422,239,0.551851,3.36619,1362,18.8784,10,22,2,7,8,854,-0.85916,0.52401,1187,0.54088,1272,0,2,9,0.823255,0.8093,51,68,60,84,74,82,7,5,-38,-0.53521,307.40845,0.683098,0.68309,63,0.262672,0.29032,0.56509,361,41,0.57746,63,0.88732,57,0.80281,217,3.05633,287.366197,38,33,7,21,0.471402,0.47326,0.48073,0.46315,0.4635,0.91579,20252026,0.41899,358,6,0.084507,3,0.042253,0.10797,1.02376,9,10,9,4,14,0.666666,18,0.357142,1.0238,28,27,0.55555,5,1001,1825,26.56338,25.70422,2.633569,46,Jake Oettinger,,L,2,332,4.6008,Dallas Stars,25,3,2.548,0.0,3,,0,0,0,2890.78873,215,3.02816,3817,3680,0.48098,0.49625,0.46327,0.47218,0.47737,2,33,5,20,21,0.48442
CAR,Carolina Hurricanes,Eastern,Metropolitan,71,45,20,6,96,0.676056,252,211,41,790,10.944,,0.48989,1237,14,0.50041,3599,189,0.50183,1095,15.1704,208,2.92957,247,0.527027,3.47887,1407,19.4904,9,25,1,13,6,1318,8.30986,0.49816,1365,0.51311,1754,0,4,2,0.84,0.8,56,79,69,69,80,91,3,8,-32,-0.4507,274.661971,0.676056,0.67605,50,0.213953,0.23255,0.55889,399,40,0.56338,50,0.70422,46,0.64788,215,3.02816,292.014084,40,32,11,20,0.589536,0.56917,0.60576,0.6031,0.60172,0.89536,20252026,0.45251,358,4,0.056338,8,0.112676,0.08676,0.98212,8,8,6,3,13,0.793103,23,0.285714,1.07881,28,29,0.625,5,1374,2307,24.18309,32.49295,2.465836,33,Brandon Bussi,,L,1,418,5.7888,Carolina Hurricanes,12,3,2.797,0.0,3,,0,0,0,2919.18309,200,2.8169,4356,4999,0.58569,0.57994,0.58273,0.59807,0.59506,2,32,5,40,3,0.5962
BUF,Buffalo Sabres,Eastern,Atlantic,72,44,20,8,96,0.666667,254,211,43,1062,14.6196,,0.47192,1496,23,0.46281,3375,195,0.45489,1095,15.0732,211,2.93055,250,0.544871,3.47222,1376,18.9432,9,22,1,8,11,1081,-1.5,0.458,1286,0.43293,1342,0,2,6,0.871794,0.82051,66,74,63,88,74,85,8,3,-25,-0.34722,274.055555,0.666666,0.66666,45,0.191588,0.21028,0.42359,373,35,0.48611,45,0.625,41,0.56944,214,2.97222,296.194444,40,37,11,22,0.491612,0.45777,0.54107,0.50758,0.4887,0.91373,20252026,0.41489,376,4,0.055555,10,0.138888,0.10565,1.01938,4,8,3,0,8,0.8125,13,0.470588,1.28308,17,16,1.0,4,1038,2040,29.48611,27.98611,2.644954,34,Alex Lyon,,OT,2,374,5.148,Buffalo Sabres,7,4,2.706,0.0,4,,0,0,0,2944.75,195,2.70833,4124,4159,0.4924,0.46829,0.53004,0.50591,0.48751,1,37,4,15,28,0.47135
TBL,Tampa Bay Lightning,Eastern,Atlantic,70,44,21,5,93,0.664286,257,195,62,865,12.2148,,0.45026,1297,20,0.47971,3131,199,0.47543,1006,14.2092,193,2.75714,253,0.572881,3.61428,1396,19.7172,12,21,0,11,10,1095,1.25715,0.49095,1216,0.4856,1355,0,4,1,0.840182,0.81735,65,74,58,87,67,87,3,5,-35,-0.5,307.285714,0.664285,0.66428,49,0.211267,0.23004,0.52747,364,40,0.57142,49,0.7,45,0.64285,213,3.04285,302.885714,40,35,9,23,0.52966,0.5025,0.5454,0.53767,0.54841,0.91145,20252026,0.38873,373,4,0.057142,5,0.071428,0.11319,1.02464,6,9,6,2,10,0.6,9,0.473684,1.07368,19,15,0.66666,4,1124,1974,26.94285,28.2,2.30073,49,Andrei Vasilevskiy,,W,1,286,4.0392,Tampa Bay Lightning,14,2,2.573,0.0,2,,0,0,0,2858.81428,219,3.12857,3868,4193,0.5254,0.50575,0.52765,0.53425,0.54745,1,35,4,25,18,0.51262
MIN,Minnesota Wild,Western,Central,72,40,20,12,92,0.638889,236,208,28,1113,15.1416,,0.47382,1490,15,0.46112,3357,167,0.46811,1042,14.1768,203,2.81944,232,0.514598,3.22222,1527,20.7756,10,20,0,8,12,1111,-0.65278,0.46867,1229,0.46164,1421,0,5,7,0.815789,0.78421,55,66,65,74,76,81,7,11,-35,-0.48611,259.791666,0.638888,0.63888,59,0.23305,0.25,0.50585,427,41,0.56944,59,0.81944,55,0.76388,236,3.27777,321.652777,36,25,10,20,0.480878,0.46283,0.49603,0.47818,0.48809,0.9212,20252026,0.48876,356,4,0.055555,6,0.083333,0.08834,1.00954,9,9,11,5,13,0.645161,20,0.3,0.94516,30,31,0.44444,4,1110,2094,29.73611,29.08333,2.513982,45,Filip Gustavsson,,L,1,328,4.4604,Minnesota Wild,30,8,2.61,0.0,8,,0,0,0,2942.33333,190,2.63888,4140,4315,0.48397,0.46848,0.49758,0.47876,0.49058,2,25,4,18,20,0.46757
MTL,Montréal Canadiens,Eastern,Atlantic,70,39,21,10,88,0.628571,249,230,19,1161,16.2828,,0.51937,1342,12,0.51307,3136,190,0.51088,943,13.2264,225,3.21428,247,0.531147,3.52857,1526,21.4056,13,21,1,14,6,1057,-1.01429,0.51602,1217,0.4973,1301,0,2,8,0.79452,0.76255,61,70,84,80,75,87,5,10,-45,-0.64285,305.771428,0.628571,0.62857,50,0.235,0.25,0.48563,348,52,0.74285,50,0.71428,47,0.67142,200,2.85714,276.271428,37,27,8,18,0.486972,0.46102,0.50687,0.49214,0.49444,0.90077,20252026,0.51595,376,3,0.042857,7,0.1,0.11368,1.01445,7,6,10,5,9,0.545454,12,0.272727,0.81818,22,22,0.28571,2,1050,1865,27.65714,26.64285,2.881058,35,Jakub Dobes,,W,2,316,4.4316,Montréal Canadiens,8,1,3.039,0.0,1,,0,0,0,2880.72857,219,3.12857,3860,3972,0.50031,0.48028,0.51282,0.50696,0.50884,3,27,2,14,22,0.49373
BOS,Boston Bruins,Eastern,Atlantic,72,40,24,8,88,0.611111,240,224,16,1097,15.012,,0.52531,1580,12,0.52689,3365,184,0.52466,1136,15.5484,221,3.06944,237,0.547091,3.29166,1678,22.968,10,26,1,11,12,1080,-2.76388,0.51515,1287,0.53308,1330,0,3,5,0.77559,0.76771,60,68,75,78,81,83,5,8,-57,-0.79166,343.875,0.611111,0.61111,51,0.193548,0.23502,0.5643,381,59,0.81944,51,0.70833,42,0.58333,217,3.01388,288.694444,37,29,14,14,0.488795,0.46223,0.52342,0.49224,0.48731,0.91646,20252026,0.4745,451,9,0.125,2,0.027777,0.1047,1.02116,6,4,4,3,9,0.862068,25,0.148148,1.01021,27,29,0.5,3,1134,1962,30.01388,27.25,2.718301,48,Jeremy Swayman,,W,1,335,4.5828,Boston Bruins,6,2,2.884,0.0,2,,0,0,0,2853.69444,254,3.52777,4197,4176,0.4878,0.46436,0.51411,0.49,0.49036,0,29,3,14,26,0.46617
CBJ,Columbus Blue Jackets,Eastern,Metropolitan,71,38,22,11,87,0.612676,231,217,14,1044,14.4576,,0.50621,1448,15,0.5064,3434,185,0.50501,1077,14.9148,216,3.04225,225,0.530201,3.16901,1377,19.0692,8,20,1,12,9,1019,0.73239,0.52276,1230,0.48828,1409,0,7,4,0.805128,0.77948,52,73,70,79,84,68,10,5,-38,-0.53521,277.380281,0.612676,0.61267,35,0.183908,0.20114,0.52795,322,43,0.60563,35,0.49295,32,0.4507,174,2.4507,245.957746,32,27,14,18,0.51083,0.50123,0.53099,0.51725,0.50796,0.91189,20252026,0.46827,331,3,0.042253,5,0.070422,0.09414,1.00603,7,13,7,1,13,0.681818,15,0.565217,1.24703,23,22,0.85714,6,1191,2115,29.07042,29.80281,2.565664,46,Jet Greaves,,W,1,357,4.9428,Columbus Blue Jackets,29,3,2.861,0.0,3,,0,0,0,2965.29577,195,2.74647,4087,4325,0.50673,0.51001,0.51298,0.51334,0.49856,1,27,6,23,14,0.49533
PIT,Pittsburgh Penguins,Eastern,Metropolitan,71,35,20,16,86,0.605634,243,225,18,1054,14.5728,,0.48786,1318,15,0.47782,3156,187,0.4849,1129,15.6132,215,3.02816,241,0.526143,3.39436,1285,17.7696,11,17,0,14,6,1070,1.6338,0.48072,1219,0.48577,1371,0,9,7,0.85308,0.82938,62,77,67,76,80,84,6,4,-31,-0.43661,303.746478,0.605633,0.60563,49,0.187192,0.24137,0.56989,372,36,0.50704,49,0.69014,38,0.53521,203,2.85915,284.056338,33,29,9,18,0.501347,0.48254,0.51756,0.49506,0.51153,0.90403,20252026,0.46052,380,11,0.154929,5,0.070422,0.10222,1.00625,12,10,18,10,14,0.4375,14,0.277777,0.71527,36,32,0.16666,2,1106,2061,27.39436,29.02816,2.881086,43,Stuart Skinner,,L,2,347,4.7988,Pittsburgh Penguins,5,4,2.905,0.0,5,,0,0,0,2915.52112,211,2.97183,3908,4237,0.50508,0.49974,0.50177,0.49909,0.51594,4,29,2,17,14,0.51209
OTT,Ottawa Senators,Eastern,Atlantic,71,38,24,9,85,0.598592,239,216,23,959,13.3848,,0.57297,1295,12,0.53599,3209,177,0.54385,976,13.6224,216,3.04225,236,0.528428,3.32394,1694,23.6412,11,18,0,15,9,1076,4.94367,0.50619,1292,0.55177,1381,0,3,6,0.777777,0.74879,61,69,73,85,73,79,9,3,-46,-0.64788,287.887323,0.598591,0.59859,53,0.211206,0.22844,0.60156,384,52,0.73239,53,0.74647,49,0.69014,232,3.2676,325.352112,35,32,13,20,0.530698,0.51118,0.56928,0.52655,0.52177,0.89187,20252026,0.552,375,4,0.056338,6,0.084507,0.10115,0.99302,3,5,0,0,6,1.0,7,0.625,1.625,8,7,1.0,3,1116,2057,24.02816,28.97183,2.749741,41,Linus Ullmark,,W,4,362,5.0508,Ottawa Senators,9,3,2.951,0.0,3,,0,0,0,2856.77464,207,2.91549,3968,4249,0.54432,0.52874,0.57214,0.54098,0.53974,1,32,3,30,7,0.5159
NYI,New York Islanders,Eastern,Metropolitan,72,40,27,5,85,0.590278,209,206,3,1058,14.4648,,0.52,1300,7,0.51323,3248,161,0.52176,1014,13.8636,201,2.79166,205,0.490566,2.84722,1404,19.1952,12,19,2,16,9,1072,0.05555,0.5149,1241,0.52941,1411,1,4,0,0.859375,0.8125,58,60,75,71,68,64,0,10,-27,-0.375,263.402777,0.590277,0.59027,35,0.13615,0.16431,0.56868,364,36,0.5,35,0.48611,29,0.40277,213,2.95833,292.055555,36,26,15,21,0.489205,0.46536,0.51895,0.48965,0.48021,0.9139,20252026,0.55294,340,6,0.083333,9,0.125,0.08507,0.99897,9,9,10,5,13,0.666666,20,0.3,0.96666,30,30,0.44444,4,1108,2025,28.08333,28.13888,2.517019,46,Ilya Sorokin,,L,1,326,4.4568,New York Islanders,2,9,2.696,0.0,9,,0,0,0,2901.63888,192,2.66666,3952,4205,0.49303,0.48153,0.51818,0.49095,0.4786,2,26,4,13,25,0.52008
DET,Detroit Red Wings,Eastern,Atlantic,71,38,25,8,84,0.591549,207,211,-4,1159,16.1208,,0.49831,1483,20,0.50968,3355,155,0.50829,1042,14.4936,208,2.92957,205,0.470588,2.88732,1266,17.6076,13,20,3,14,8,1097,0.71831,0.51889,1191,0.50987,1367,1,4,3,0.789189,0.77837,53,40,66,84,84,72,5,9,-39,-0.54929,250.12676,0.591549,0.59154,48,0.195454,0.21818,0.55347,374,41,0.57746,48,0.67605,43,0.60563,220,3.09859,307.084507,36,27,12,18,0.492766,0.42887,0.53156,0.50651,0.50667,0.91182,20252026,0.4391,312,5,0.070422,2,0.028169,0.07751,0.98933,5,4,6,3,7,0.6,9,0.285714,0.88571,14,15,0.4,2,1087,2019,27.7183,28.43661,2.550826,48,John Gibson,,L,2,312,4.338,Detroit Red Wings,17,5,2.728,0.0,4,,0,0,0,2915.18309,185,2.60563,4041,4203,0.50125,0.4474,0.53629,0.50817,0.51038,0,27,2,18,20,0.46768
ANA,Anaheim Ducks,Western,Pacific,71,40,27,4,84,0.591549,240,245,-5,1046,14.472,,0.45877,1419,15,0.48086,3319,184,0.474,1065,14.7348,245,3.4507,232,0.477564,3.2676,1504,20.8116,10,23,3,13,11,1209,1.36619,0.50899,1279,0.45768,1418,0,2,2,0.814655,0.78017,72,55,84,87,85,82,4,8,-43,-0.60563,323.183098,0.591549,0.59154,40,0.162895,0.18099,0.54111,377,51,0.7183,40,0.56338,36,0.50704,221,3.11267,306.985915,32,24,17,17,0.515452,0.49862,0.54608,0.50398,0.49288,0.89571,20252026,0.35952,420,4,0.056338,8,0.112676,0.09113,0.98684,8,15,5,0,16,0.8,20,0.576923,1.37692,26,25,1.0,8,1200,2154,28.97183,30.33802,3.012094,49,Lukas Dostal,,W,3,355,4.9104,Anaheim Ducks,24,0,3.258,0.0,0,,0,0,0,2853.09859,232,3.2676,4116,4563,0.51631,0.51625,0.53834,0.50266,0.49073,2,24,8,22,16,0.50074
